,MAE,MSE,RMSE,R2,set,modelo
0,0.2101154857836031,0.08660382821468673,0.2942852837208934,0.8487033463956073,test,DT Casual I
1,0.0,0.0,0.0,1.0,train,DT Casual I
0,0.24269155987365837,0.10721792174262713,0.3274414783478525,0.8126905807689668,test,DT Casual II
1,0.18418554506957643,0.06342201752165547,0.2518372838196431,0.8864648255959133,train,DT Casual II
0,0.24269155987365837,0.10721792174262713,0.3274414783478525,0.8126905807689668,test,DT Casual III
1,0.18418554506957643,0.06342201752165547,0.2518372838196431,0.8864648255959133,train,DT Casual III
0,0.2987842929816276,0.13721959803868838,0.37043163746997687,0.7602777334423573,test,RF Casual I
1,0.25971560279054856,0.11836068012591948,0.3440358704058626,0.7881161624022109,train,RF Casual I
0,0.2984769864787756,0.1362820628294618,0.3691640053275262,0.7619156049165912,test,RF Casual II
1,0.2607635114398543,0.11675248826764799,0.3416906323966871,0.7909950733898934,train,RF Casual II
0,0.31182483523350824,0.1527504254363483,0.3908329891863637,0.7331454199937137,test,RF Casual III
1,0.28976184937236027,0.1447320604276457,0.38043667071885395,0.740907332112152,train,RF Casual III
