,MAE,MSE,RMSE,R2,set,modelo
0,505.3767123287671,564256.8698630137,751.1703334550784,0.835149599332399,test,DT Total I
1,0.0,0.0,0.0,1.0,train,DT Total I
0,901.4064239460017,1255955.5891586195,1120.6942442783488,0.6330664398578323,test,DT Total II
1,831.2429909415191,1065313.780380311,1032.140387922259,0.7208072251246734,train,DT Total II
0,872.9647440134322,1234456.3805972983,1111.0609256909804,0.6393475386528378,test,DT Total III
1,744.8908870550279,992471.6699632729,996.2287237192436,0.7398973667427116,train,DT Total III
0,809.5634188771957,984149.7589544933,992.0432243377772,0.7124758407993187,test,RF Total I
1,806.6524843589131,1058479.2121261375,1028.8241891237478,0.7225983988718827,train,RF Total I
0,883.6681398142447,1096331.5406631911,1047.058518261129,0.6797013853163507,test,RF Total II
1,889.2936013735392,1249765.707027851,1117.9292048371626,0.6724668711554959,train,RF Total II
0,769.7217921706069,905662.8559629613,951.6632051114309,0.7354061728809721,test,RF Total III
1,806.6524843589131,1058479.2121261375,1028.8241891237478,0.7225983988718827,train,RF Total III
